State:Action,QValue
-3,74:up,0.027232362
-3,75:up,0.023535319
-3,76:down,0.5867337
-3,76:right,0.42345175
-3,76:up,-0.22034478
-3,77:down,0.51137936
-3,77:up,-0.22401261
-3,78:up,-0.22759691
-3,79:right,0.40149194
-3,80:right,4.422569
-3,86:up,-0.35015306
-3,87:up,-0.26327273
-3,88:up,-0.26631227
-3,89:up,-0.26926944
-3,90:up,-0.18214875
-3,91:up,-0.18495026
-3,92:right,0.30611348
-4,32:left,-0.4533799
-4,32:right,0.09462889
-4,33:up,0.14466454
-4,34:right,0.24575113
-4,37:up,-0.022347111
-4,38:right,0.02272727
-4,38:up,0.2124859
-4,39:up,0.20725824
-4,40:right,0.2048925
-4,41:right,0.79020756
-4,43:up,0.09585091
-4,44:right,0.7481301
-4,48:left,0.16219598
-4,49:right,0.25794595
-4,59:left,-0.5779774
-4,60:up,0.15274177
-4,61:right,3.8055842
-4,63:left,-0.3100209
-4,63:right,0.24974512
-4,63:up,-0.09955377
-4,64:down,0.040239252
-4,64:up,0.13578163
-4,65:up,0.13118225
-4,66:up,-0.1133542
-4,67:up,-0.35782313
-4,68:up,0.35777438
-4,69:up,-0.12655497
-4,70:up,-0.1308133
-4,71:up,0.10500389
-4,72:up,-0.37910458
-4,73:right,0.23360552
-4,73:up,-0.053136297
-5,32:up,-0.092300504
-5,33:right,0.33479556
-5,48:left,-0.55781204
-5,49:right,0.25794595
-5,59:left,0.15386811
-5,59:right,0.50599116
-5,59:up,0.79136807
-5,60:down,0.39708856
-5,60:right,0.26507333
-5,60:up,-0.08625459
-5,61:down,0.26625457
-5,61:left,-0.058901355
-5,62:up,-0.016215993
-5,63:down,0.27442795
-5,63:right,0.25002092
-6,48:up,-0.022152795
-6,49:right,0.49795055
-6,59:up,0.39982682
-6,60:left,-0.15130524
-6,60:right,0.372051
-6,61:down,0.26528528
-6,61:right,0.88833565
-7,58:up,-0.0017861055
-7,59:down,0.2542463
-7,59:up,0.56257224
-7,60:down,0.019317163
-7,60:right,0.50540864
-7,60:up,0.56803304
-7,61:down,0.5809312
-7,61:right,0.5800766
0,-1:up,20.824326
0,-2:right,0.05704841
0,-3:up,0.3668001
0,0:down,8.902308
0,0:left,7.412255
0,0:right,14.429154
0,0:up,28.90962
0,1:down,25.321632
0,1:left,23.022715
0,1:right,28.978277
0,1:up,28.818043
0,10:down,28.204786
0,10:left,30.071636
0,10:right,36.41067
0,10:up,35.62323
0,100:down,13.86019
0,100:left,12.403351
0,100:right,28.316563
0,100:up,-0.20928444
0,101:right,0.4391898
0,102:down,0.12524047
0,11:down,33.349476
0,11:left,20.961636
0,11:right,37.490063
0,11:up,36.82705
0,12:down,27.236258
0,12:left,22.191544
0,12:right,35.85371
0,12:up,39.425682
0,13:down,36.07318
0,13:left,3.9545245
0,13:right,38.984283
0,13:up,40.56469
0,14:down,36.943504
0,14:left,30.262617
0,14:right,41.58107
0,14:up,40.296837
0,15:down,37.94822
0,15:left,16.44389
0,15:right,42.02485
0,15:up,40.926693
0,16:down,38.934616
0,16:left,23.005377
0,16:right,42.5457
0,16:up,43.962547
0,17:down,13.423328
0,17:left,-0.26535574
0,17:right,44.924496
0,17:up,34.786137
0,18:down,12.6500635
0,18:left,28.058847
0,18:right,39.249466
0,18:up,47.651535
0,19:down,39.857918
0,19:left,41.470047
0,19:right,48.575794
0,19:up,49.658463
0,2:down,26.75129
0,2:left,16.272083
0,2:right,29.656263
0,2:up,29.657457
0,20:down,44.23252
0,20:left,11.37648
0,20:right,50.98354
0,20:up,45.91597
0,21:down,35.31108
0,21:left,10.862709
0,21:right,52.28336
0,21:up,36.076447
0,22:down,38.539932
0,22:left,19.840311
0,22:right,52.284184
0,22:up,40.484028
0,23:down,26.047543
0,23:left,10.81629
0,23:right,56.005245
0,23:up,51.486877
0,24:down,15.74175
0,24:left,44.796963
0,24:right,56.665855
0,24:up,37.453236
0,25:down,45.142372
0,25:left,4.358222
0,25:right,59.59613
0,25:up,33.888462
0,26:down,16.908691
0,26:left,24.899023
0,26:right,58.853012
0,26:up,62.094406
0,27:down,47.061806
0,27:left,21.233006
0,27:right,61.28205
0,27:up,65.62284
0,28:down,39.894703
0,28:left,42.193253
0,28:right,67.520615
0,28:up,63.597687
0,29:down,47.857918
0,29:left,18.510225
0,29:right,61.214325
0,29:up,68.121544
0,3:down,27.796558
0,3:left,23.402348
0,3:right,30.164444
0,3:up,30.681818
0,30:down,48.6669
0,30:left,50.43704
0,30:right,70.826515
0,30:up,68.202995
0,31:down,54.84529
0,31:left,40.220818
