State:Action,QValue
-1,79:down,12.528774
-1,79:left,3.2842202
-1,79:right,16.901197
-1,79:up,14.006487
-1,8:down,1.3098462
-1,8:right,11.007971
-1,8:up,2.4674766
-1,80:down,16.227982
-1,80:left,11.234167
-1,80:right,17.134682
-1,80:up,9.796538
-1,81:down,15.637541
-1,81:left,3.9013562
-1,81:right,12.537503
-1,81:up,3.5825753
-1,82:down,4.416966
-1,82:left,0.006327808
-1,82:right,13.132305
-1,82:up,4.821689
-1,83:down,11.709583
-1,83:left,0.48063388
-1,83:right,5.416189
-1,83:up,3.9593287
-1,84:down,3.4646223
-1,84:left,0.4792665
-1,84:right,14.426803
-1,84:up,5.4292326
-1,85:left,-0.120300345
-1,85:right,12.913638
-1,85:up,2.4365406
-1,86:down,5.8989143
-1,86:left,1.9161953
-1,86:right,8.442398
-1,86:up,11.277939
-1,87:down,2.6668746
-1,87:left,0.569543
-1,87:right,12.532164
-1,87:up,5.328184
-1,88:down,2.2920525
-1,88:left,4.6964164
-1,88:right,13.606352
-1,88:up,6.31293
-1,89:down,9.529224
-1,89:left,1.1039968
-1,89:right,12.809678
-1,89:up,0.3816617
-1,9:down,6.536942
-1,9:left,0.33181205
-1,9:right,8.134894
-1,9:up,11.294815
-1,90:down,9.281794
-1,90:left,1.371228
-1,90:right,0.078818336
-1,90:up,3.7535229
-1,91:down,0.08731145
-1,91:left,0.47765326
-1,91:right,10.673642
-1,91:up,0.08691886
-1,92:down,6.6314883
-1,92:left,2.7772555
-1,92:right,10.20133
-1,92:up,3.808113
-1,93:down,4.069355
-1,93:left,0.79163367
-1,93:right,9.648387
-1,93:up,5.3342857
-1,94:down,9.004365
-1,94:left,1.8566842
-1,94:right,8.395733
-1,94:up,8.716687
-1,95:down,3.9790063
-1,95:left,5.2861013
-1,95:right,9.462221
-1,95:up,3.8573096
-1,96:down,3.0144348
-1,96:left,2.6389
-1,96:right,10.39921
-1,96:up,4.8353424
-1,97:down,2.3364735
-1,97:left,4.1893797
-1,97:right,10.308722
-1,97:up,3.2271323
-1,98:down,6.581451
-1,98:left,6.330476
-1,98:right,8.750939
-1,98:up,5.0393844
-1,99:down,5.478712
-1,99:left,1.0478507
-1,99:right,7.9642143
-1,99:up,0.9582212
-2,-1:down,0.28175953
-2,-1:left,-0.02000922
-2,-1:right,4.5318103
-2,-1:up,1.8686526
-2,-2:down,-0.06349285
-2,-2:left,-0.34649402
-2,-2:up,1.892385
-2,-3:left,-0.08587723
-2,0:down,0.09171
-2,0:left,-0.3063286
-2,0:right,2.210904
-2,0:up,4.992991
-2,1:down,0.6440249
-2,1:left,0.19147006
-2,1:right,7.1631536
-2,1:up,0.6487389
-2,10:down,-0.39626858
-2,10:left,-0.08248787
-2,10:right,5.644618
-2,10:up,-0.027965695
-2,100:down,0.85616136
-2,100:left,0.128775
-2,100:right,2.4962668
-2,100:up,0.119925
-2,101:down,0.9060517
-2,11:down,0.19014147
-2,11:right,4.398006
-2,11:up,-0.078691155
-2,111:left,-0.10639081
-2,111:up,-0.32430005
-2,112:right,0.018974213
-2,12:down,0.36745805
-2,12:left,1.1885079
-2,12:right,6.3173614
-2,12:up,0.891844
-2,13:down,3.9002821
-2,13:left,2.000357
-2,13:right,7.6777344
-2,13:up,2.017524
-2,14:down,2.4027567
-2,14:left,3.6115255
-2,14:right,7.2668667
-2,15:down,-0.043100283
-2,15:right,0.9272783
-2,16:right,7.308856
-2,18:right,7.474888
-2,18:up,-0.13481946
-2,19:left,0.074324995
-2,19:up,0.15148084
-2,2:down,2.1354856
-2,2:right,5.1636467
-2,2:up,2.8943157
-2,20:up,0.057699576
-2,21:left,1.0874977
-2,21:right,5.8090224
-2,23:left,0.024998322
-2,24:down,0.351045
-2,24:left,1.425471
-2,24:right,15.091
-2,24:up,0.422485
-2,25:down,7.239655
-2,25:left,0.11806501
-2,25:right,8.143761
-2,26:down,2.9900405
-2,26:left,1.0570301
-2,26:right,13.949744
-2,26:up,7.7512507
-2,27:down,5.6724615
-2,27:left,-0.056588758
-2,27:right,16.8411
-2,27:up,-0.11202201
-2,28:left,0.64239955
-2,28:right,10.735568
-2,28:up,0.64853245
-2,29:left,0.8279468
-2,3:down,1.1660099
-2,3:left,-0.027330656
-2,3:right,7.3729806
-2,3:up,-0.08342278
-2,30:down,-0.25606412
-2,30:left,-0.16681501
-2,30:right,6.440068
-2,31:left,-0.16761002
-2,31:right,12.040541
-2,31:up,0.8307947
-2,32:down,2.152641
-2,32:left,0.5066245
-2,32:right,-0.15873533
-2,32:up,0.060585722
-2,33:down,0.12975378
-2,33:left,0.2567336
-2,33:right,16.12757
-2,33:up,-0.2631998
-2,34:down,-0.064794645
-2,34:right,15.737616
-2,35:down,0.20818713
-2,35:left,0.079185784
-2,35:right,25.891626
-2,35:up,4.3711753
-2,36:down,13.068086
-2,36:left,0.113145
-2,36:right,20.713665
-2,36:up,4.0640607
-2,37:down,3.93482
-2,37:right,10.80813
-2,37:up,1.9361005
-2,38:left,-0.1344105
-2,38:right,27.855244
-2,38:up,14.169037
-2,39:down,8.671546
-2,39:left,0.8654533
-2,39:right,34.173588
-2,39:up,-0.15931317
-2,4:down,2.688357
-2,4:left,0.3722
-2,4:right,1.7609248
-2,4:up,3.4733171
-2,40:right,20.663948
-2,40:up,0.4593567
-2,41:down,0.5212356
-2,41:left,-0.34225237
-2,41:right,6.016246
-2,41:up,-0.16782837
-2,42:down,0.09769692
-2,42:left,0.18952554
-2,42:right,-0.3718317
-2,42:up,0.3701668
-2,43:down,0.1428302
-2,43:left,0.6857648
-2,43:right,35.292366
-2,43:up,0.3071896
-2,44:left,-0.19467002
-2,44:right,25.066887
-2,44:up,0.39188626
-2,45:down,2.1832442
-2,45:left,0.86982495
-2,45:right,42.06646
-2,45:up,0.41944844
-2,46:down,4.2597547
-2,46:left,0.46165836
-2,46:right,49.56306
-2,46:up,18.068134
-2,47:down,25.90744
-2,47:left,0.40615362
-2,47:right,44.16438
-2,47:up,1.3870518
-2,48:down,23.473537
-2,48:left,0.1852935
-2,49:up,5.115097
-2,5:down,1.074448
-2,5:left,-0.19588502
-2,5:right,7.2415304
-2,50:right,29.05062
-2,50:up,1.8728222
-2,51:down,8.320172
-2,51:left,-0.15192
-2,51:right,23.043358
-2,51:up,-0.105568156
-2,52:down,-0.06260073
-2,52:left,-0.27552032
-2,52:right,0.014830963
-2,52:up,8.096848
-2,53:down,0.54985833
-2,53:left,-0.47866502
-2,53:right,39.319984
-2,53:up,0.61819994
-2,54:down,0.11208956
-2,54:left,-0.1932
-2,54:right,38.14741
-2,54:up,8.097055
-2,55:right,42.913986
-2,55:up,3.3814375
-2,56:down,10.400338
-2,56:up,4.228808
-2,57:right,23.509598
-2,58:down,-0.43139288
-2,58:right,23.589746
-2,58:up,0.1175734
-2,59:down,6.309276
-2,59:right,36.85075
-2,59:up,0.17692542
-2,6:down,0.26838446
-2,6:right,4.737776
-2,6:up,0.19499621
-2,60:down,0.18382151
